# time, x_measured, y_measured, x_predicted, y_predicted, x_kalman, y_kalman
0.000000000000000000e+00,1.600000000000000000e+01,2.760000000000000000e+02,1.600000000000000000e+01,2.760000000000000000e+02,1.600000000000000000e+01,2.760000000000000000e+02
3.333333333333333287e-02,1.600000000000000000e+01,2.760000000000000000e+02,1.600000000000000000e+01,2.760000000000000000e+02,1.600000000000000000e+01,2.760000000000000000e+02
6.666666666666666574e-02,1.700000000000000000e+01,2.760000000000000000e+02,1.600000000000000000e+01,2.760000000000000000e+02,1.633444383585297288e+01,2.760000000000000000e+02
1.000000000000000056e-01,1.800000000000000000e+01,2.760000000000000000e+02,1.633555649476537397e+01,2.760000000000000000e+02,1.675582284390476673e+01,2.760000000000000000e+02
1.333333333333333315e-01,1.800000000000000000e+01,2.760000000000000000e+02,1.675971829502857702e+01,2.760000000000000000e+02,1.701326960519816467e+01,2.760000000000000000e+02
1.666666666666666574e-01,1.900000000000000000e+01,2.760000000000000000e+02,1.701993880039406548e+01,2.760000000000000000e+02,1.736361110625398751e+01,2.760000000000000000e+02
2.000000000000000111e-01,2.000000000000000000e+01,2.760000000000000000e+02,1.737581697848998630e+01,2.760000000000000000e+02,1.777663765196407297e+01,2.760000000000000000e+02
2.333333333333333370e-01,2.100000000000000000e+01,2.760000000000000000e+02,1.779765256677417185e+01,2.760000000000000000e+02,1.824070144478217159e+01,2.760000000000000000e+02
2.666666666666666630e-01,2.300000000000000000e+01,2.760000000000000000e+02,1.827425325522667166e+01,2.760000000000000000e+02,1.888089476166305758e+01,2.760000000000000000e+02
2.999999999999999889e-01,2.400000000000000000e+01,2.760000000000000000e+02,1.893551164186115798e+01,2.760000000000000000e+02,1.955109880216905083e+01,2.760000000000000000e+02
3.333333333333333148e-01,2.500000000000000000e+01,2.760000000000000000e+02,1.963105869276018467e+01,2.760000000000000000e+02,2.025958988399153071e+01,2.760000000000000000e+02
3.666666666666666408e-01,2.700000000000000000e+01,2.760000000000000000e+02,2.036927882918100963e+01,2.760000000000000000e+02,2.112745943973770224e+01,2.760000000000000000e+02
4.000000000000000222e-01,2.900000000000000000e+01,2.760000000000000000e+02,2.127714428760155485e+01,2.760000000000000000e+02,2.214940474829566952e+01,2.760000000000000000e+02
4.333333333333333481e-01,3.000000000000000000e+01,2.760000000000000000e+02,2.234936715740909818e+01,2.760000000000000000e+02,2.321036608679695235e+01,2.760000000000000000e+02
4.666666666666666741e-01,3.200000000000000000e+01,2.760000000000000000e+02,2.346384953817450381e+01,2.760000000000000000e+02,2.442725020488834176e+01,2.760000000000000000e+02
5.000000000000000000e-01,3.400000000000000000e+01,2.760000000000000000e+02,2.474408660756807521e+01,2.760000000000000000e+02,2.579645549498703261e+01,2.760000000000000000e+02
5.333333333333333259e-01,3.600000000000000000e+01,2.760000000000000000e+02,2.618573780833244768e+01,2.760000000000000000e+02,2.731314773957555886e+01,2.760000000000000000e+02
5.666666666666666519e-01,3.900000000000000000e+01,2.760000000000000000e+02,2.778302372628585459e+01,2.760000000000000000e+02,2.908708189055239757e+01,2.760000000000000000e+02
5.999999999999999778e-01,4.100000000000000000e+01,2.760000000000000000e+02,2.965262728761879174e+01,2.760000000000000000e+02,3.098865616313934979e+01,2.760000000000000000e+02
6.333333333333333037e-01,4.300000000000000000e+01,2.760000000000000000e+02,3.165508739131218974e+01,2.760000000000000000e+02,3.300784254630617198e+01,2.760000000000000000e+02
6.666666666666666297e-01,4.600000000000000000e+01,2.760000000000000000e+02,3.377912758003581928e+01,2.760000000000000000e+02,3.525418183799108363e+01,2.760000000000000000e+02
6.999999999999999556e-01,4.900000000000000000e+01,2.760000000000000000e+02,3.614168811486666755e+01,2.760000000000000000e+02,3.771146322694606567e+01,2.760000000000000000e+02
7.333333333333332815e-01,5.100000000000000000e+01,2.760000000000000000e+02,3.872475726862561629e+01,2.760000000000000000e+02,4.023908966867674053e+01,2.760000000000000000e+02
7.666666666666666075e-01,5.400000000000000000e+01,2.760000000000000000e+02,4.137709434538842856e+01,2.760000000000000000e+02,4.294909573060535024e+01,2.760000000000000000e+02
8.000000000000000444e-01,5.700000000000000000e+01,2.760000000000000000e+02,4.421879785045934597e+01,2.760000000000000000e+02,4.582403548913825375e+01,2.760000000000000000e+02
8.333333333333333703e-01,6.000000000000000000e+01,2.760000000000000000e+02,4.723083341548851877e+01,2.760000000000000000e+02,4.884669374513484996e+01,2.760000000000000000e+02
8.666666666666666963e-01,6.300000000000000000e+01,2.760000000000000000e+02,5.039451189668109521e+01,2.760000000000000000e+02,5.200039898546521044e+01,2.760000000000000000e+02
9.000000000000000222e-01,6.700000000000000000e+01,2.760000000000000000e+02,5.369180927925402358e+01,2.760000000000000000e+02,5.539740487561984850e+01,2.760000000000000000e+02
9.333333333333333481e-01,7.000000000000000000e+01,2.760000000000000000e+02,5.724305305461761151e+01,2.760000000000000000e+02,5.888682619072806546e+01,2.760000000000000000e+02
9.666666666666666741e-01,7.400000000000000000e+01,2.760000000000000000e+02,6.088597708495603200e+01,2.760000000000000000e+02,6.258403433417797856e+01,2.760000000000000000e+02
