position x1,position y1,velocity x1,velocity y1,position x2,position y2,velocity x2,velocity y2
160.0,40.11542731880134,30.000000000000007,21.96152422706621,224.27010515561676,176.43798257200484,24.756701718539258,116.52067247599823
161.0,39.400043177899136,30.000000000000007,21.628190893732878,225.09532854623473,172.48729348947157,24.756701718539258,117.85400580933155
162.0,38.69577014810804,30.000000000000007,21.294857560399546,225.9205519368527,168.49215996249384,24.756701718539258,119.18733914266488
163.0,38.00260822942805,30.000000000000007,20.961524227066214,226.74577532747065,164.45258199107167,24.756701718539258,120.52067247599821
164.0,37.32055742185918,30.000000000000007,20.62819089373288,227.57099871808862,160.36855957520507,24.756701718539258,121.85400580933154
165.0,36.64961772540141,30.000000000000007,20.29485756039955,228.39622210870658,156.24009271489402,24.756701718539258,123.18733914266487
166.0,35.98978914005477,30.000000000000007,19.961524227066217,229.22144549932455,152.06718141013852,24.756701718539258,124.5206724759982
167.0,35.34107166581923,30.000000000000007,19.628190893732885,230.0466688899425,147.84982566093856,24.756701718539258,125.85400580933153
168.0,34.703465302694795,30.000000000000007,19.294857560399553,230.87189228056047,143.5880254672942,24.756701718539258,127.18733914266485
169.0,34.07697005068148,30.000000000000007,18.96152422706622,231.69711567117844,139.28178082920536,24.756701718539258,128.5206724759982
170.0,33.461585909779274,30.000000000000007,18.62819089373289,232.5223390617964,134.93109174667208,24.756701718539258,129.85400580933154
171.0,32.85731287998817,30.000000000000007,18.294857560399556,233.34756245241437,130.53595821969435,24.756701718539258,131.18733914266488
172.0,32.26415096130819,30.000000000000007,17.961524227066224,234.17278584303233,126.0963802482722,24.756701718539258,132.52067247599823
173.0,31.682100153739313,30.000000000000007,17.628190893732892,234.9980092336503,121.61235783240559,24.756701718539258,133.85400580933157
174.0,31.111160457281557,30.000000000000007,17.29485756039956,235.82323262426826,117.08389097209454,24.756701718539258,135.1873391426649
175.0,30.551331871934906,30.000000000000007,16.961524227066228,236.64845601488622,112.51097966733903,24.756701718539258,136.52067247599825
176.0,30.00261439769936,30.000000000000007,16.628190893732896,237.47367940550419,107.8936239181391,24.756701718539258,137.8540058093316
177.0,29.465008034574936,30.000000000000007,16.294857560399564,238.29890279612215,103.23182372449472,24.756701718539258,139.18733914266494
178.0,28.938512782561617,30.000000000000007,15.96152422706623,239.1241261867401,98.52557908640588,24.756701718539258,140.52067247599828
179.0,28.423128641659403,30.000000000000007,15.628190893732896,239.94934957735808,93.7748900038726,24.756701718539258,141.85400580933162
180.0,27.91885561186831,30.000000000000007,15.294857560399562,240.77457296797604,88.97975647689489,24.756701718539258,143.18733914266497
