position x,position y,velocity x,velocity y
160,633.4,0,198.66666666666666
160,626.8444444444444,0,197.33333333333331
160,620.3333333333334,0,195.99999999999997
160,613.8666666666667,0,194.66666666666663
160,607.4444444444445,0,193.3333333333333
160,601.0666666666667,0,191.99999999999994
160,594.7333333333333,0,190.6666666666666
160,588.4444444444445,0,189.33333333333326
160,582.2,0,187.99999999999991
160,576.0,0,186.66666666666657
160,569.8444444444444,0,185.33333333333323
160,563.7333333333333,0,183.9999999999999
160,557.6666666666667,0,182.66666666666654
160,551.6444444444445,0,181.3333333333332
160,545.6666666666667,0,179.99999999999986
160,539.7333333333335,0,178.66666666666652
160,533.8444444444445,0,177.33333333333317
160,528.0000000000001,0,175.99999999999983
160,522.2000000000002,0,174.6666666666665
160,516.4444444444446,0,173.33333333333314
160,510.73333333333346,0,171.9999999999998
160,505.0666666666668,0,170.66666666666646
160,499.44444444444457,0,169.33333333333312
160,493.8666666666668,0,167.99999999999977
160,488.3333333333335,0,166.66666666666643
160,482.8444444444446,0,165.3333333333331
160,477.40000000000015,0,163.99999999999974
160,472.00000000000017,0,162.6666666666664
160,466.6444444444446,0,161.33333333333306
160,461.33333333333354,0,159.99999999999972
160,456.0666666666669,0,158.66666666666637
160,450.84444444444466,0,157.33333333333303
160,445.6666666666669,0,155.9999999999997
160,440.5333333333336,0,154.66666666666634
160,435.4444444444447,0,153.333333333333
160,430.40000000000026,0,151.99999999999966
160,425.40000000000026,0,150.66666666666632
160,420.44444444444474,0,149.33333333333297
160,415.53333333333364,0,147.99999999999963
160,410.66666666666697,0,146.6666666666663
160,405.8444444444448,0,145.33333333333294
160,401.066666666667,0,143.9999999999996
160,396.3333333333337,0,142.66666666666626
160,391.64444444444484,0,141.33333333333292
160,387.0000000000004,0,139.99999999999957
160,382.40000000000043,0,138.66666666666623
160,377.8444444444449,0,137.3333333333329
160,373.33333333333377,0,135.99999999999955
160,368.86666666666713,0,134.6666666666662
160,364.4444444444449,0,133.33333333333286
160,360.0666666666672,0,131.99999999999952
160,355.73333333333386,0,130.66666666666617
160,351.44444444444497,0,129.33333333333283
160,347.20000000000056,0,127.9999999999995
160,343.00000000000057,0,126.66666666666617
160,338.844444444445,0,125.33333333333285
160,334.7333333333339,0,123.99999999999952
160,330.66666666666725,0,122.66666666666619
160,326.64444444444507,0,121.33333333333286
160,322.6666666666673,0,119.99999999999953
160,318.733333333334,0,118.6666666666662
160,314.8444444444451,0,117.33333333333287
160,311.0000000000007,0,115.99999999999955
160,307.20000000000067,0,114.66666666666622
160,303.44444444444514,0,113.33333333333289
160,299.73333333333403,0,111.99999999999956
160,296.0666666666674,0,110.66666666666623
160,292.4444444444452,0,109.3333333333329
160,288.8666666666674,0,107.99999999999957
160,285.3333333333341,0,106.66666666666625
160,281.84444444444523,0,105.33333333333292
160,278.4000000000008,0,103.99999999999959
160,275.0000000000008,0,102.66666666666626
160,271.64444444444524,0,101.33333333333293
160,268.33333333333417,0,99.9999999999996
160,265.0666666666675,0,98.66666666666627
160,261.8444444444453,0,97.33333333333294
160,258.66666666666754,0,95.99999999999962
160,255.5333333333342,0,94.66666666666629
160,252.44444444444534,0,93.33333333333296
160,249.40000000000092,0,91.99999999999963
160,246.40000000000092,0,90.6666666666663
160,243.44444444444537,0,89.33333333333297
160,240.53333333333427,0,87.99999999999964
160,237.66666666666762,0,86.66666666666632
160,234.8444444444454,0,85.33333333333299
160,232.06666666666763,0,83.99999999999966
160,229.3333333333343,0,82.66666666666633
160,226.64444444444544,0,81.333333333333
160,224.000000000001,0,79.99999999999967
160,221.400000000001,0,78.66666666666634
160,218.84444444444546,0,77.33333333333302
160,216.33333333333437,0,75.99999999999969
160,213.8666666666677,0,74.66666666666636
160,211.44444444444548,0,73.33333333333303
160,209.06666666666771,0,71.9999999999997
160,206.7333333333344,0,70.66666666666637
160,204.4444444444455,0,69.33333333333304
160,202.20000000000107,0,67.99999999999972
160,200.00000000000108,0,66.66666666666639
160,197.84444444444554,0,65.33333333333306
160,195.73333333333443,0,63.99999999999972
160,193.66666666666777,0,62.66666666666639
160,191.64444444444555,0,61.33333333333305
160,189.6666666666678,0,59.999999999999716
160,187.73333333333446,0,58.66666666666638
160,185.84444444444557,0,57.333333333333044
160,184.00000000000114,0,55.99999999999971
160,182.20000000000115,0,54.66666666666637
160,180.4444444444456,0,53.33333333333304
160,178.73333333333449,0,51.9999999999997
160,177.06666666666783,0,50.666666666666366
160,175.44444444444562,0,49.33333333333303
160,173.86666666666787,0,47.999999999999694
160,172.33333333333454,0,46.66666666666636
160,170.84444444444566,0,45.33333333333302
160,169.40000000000123,0,43.99999999999969
160,168.00000000000125,0,42.66666666666635
160,166.6444444444457,0,41.333333333333016
160,165.3333333333346,0,39.99999999999968
160,164.06666666666794,0,38.666666666666345
160,162.84444444444574,0,37.33333333333301
160,161.66666666666796,0,35.99999999999967
160,160.53333333333464,0,34.66666666666634
160,159.44444444444576,0,33.333333333333
160,158.40000000000134,0,31.99999999999967
160,157.40000000000134,0,30.666666666666337
160,156.4444444444458,0,29.333333333333005
160,155.5333333333347,0,27.999999999999673
160,154.66666666666805,0,26.66666666666634
160,153.84444444444583,0,25.33333333333301
160,153.06666666666806,0,23.999999999999677
160,152.33333333333474,0,22.666666666666345
160,151.64444444444587,0,21.333333333333012
160,151.00000000000142,0,19.99999999999968
160,150.40000000000143,0,18.666666666666348
160,149.84444444444588,0,17.333333333333016
160,149.3333333333348,0,15.999999999999682
160,148.86666666666812,0,14.666666666666348
160,148.4444444444459,0,13.333333333333014
