position x,position y,velocity x,velocity y
22.333333333333336,280,8.333333333333334,0
24.777777777777786,280,11.666666666666668,0
22.333333333333343,280,15.000000000000002,0
20.000000000000007,280,18.333333333333336,0
20.777777777777786,280,21.666666666666668,0
18.66666666666667,280,25.0,0
20.66666666666667,280,28.333333333333332,0
19.777777777777786,280,31.666666666666664,0
23.000000000000007,280,35.0,0
26.333333333333343,280,38.333333333333336,0
28.777777777777786,280,41.66666666666667,0
30.333333333333343,280,45.00000000000001,0
29.000000000000014,280,48.33333333333334,0
31.777777777777786,280,51.66666666666668,0
31.66666666666667,280,55.000000000000014,0
32.66666666666667,280,58.33333333333335,0
34.777777777777786,280,61.666666666666686,0
34.000000000000014,280,65.00000000000001,0
36.33333333333334,280,68.33333333333334,0
39.777777777777786,280,71.66666666666667,0
40.33333333333334,280,75.0,0
44.000000000000014,280,78.33333333333333,0
46.777777777777786,280,81.66666666666666,0
50.66666666666667,280,84.99999999999999,0
54.66666666666667,280,88.33333333333331,0
58.777777777777786,280,91.66666666666664,0
61.0,280,94.99999999999997,0
61.33333333333333,280,98.3333333333333,0
61.77777777777777,280,101.66666666666663,0
62.33333333333333,280,104.99999999999996,0
66.0,280,108.33333333333329,0
69.77777777777777,280,111.66666666666661,0
71.66666666666666,280,114.99999999999994,0
72.66666666666666,280,118.33333333333327,0
78.77777777777777,280,121.6666666666666,0
81.99999999999999,280,124.99999999999993,0
86.33333333333331,280,128.33333333333326,0
91.77777777777774,280,131.6666666666666,0
98.33333333333329,280,134.99999999999994,0
101.99999999999994,280,138.3333333333333,0
108.77777777777771,280,141.66666666666663,0
114.6666666666666,280,144.99999999999997,0
119.6666666666666,280,148.33333333333331,0
123.77777777777771,280,151.66666666666666,0
126.99999999999994,280,155.0,0
131.3333333333333,280,158.33333333333334,0
138.77777777777774,280,161.66666666666669,0
142.3333333333333,280,165.00000000000003,0
145.99999999999994,280,168.33333333333337,0
152.77777777777771,280,171.6666666666667,0
156.6666666666666,280,175.00000000000006,0
159.6666666666666,280,178.3333333333334,0
166.77777777777771,280,181.66666666666674,0
171.99999999999994,280,185.00000000000009,0
177.3333333333333,280,188.33333333333343,0
184.77777777777774,280,191.66666666666677,0
188.33333333333331,280,195.0000000000001,0
195.99999999999997,280,198.33333333333346,0
199.77777777777774,280,201.6666666666668,0
204.66666666666663,280,205.00000000000014,0
211.66666666666663,280,208.33333333333348,0
220.77777777777777,280,211.66666666666683,0
229.0,280,215.00000000000017,0
235.33333333333331,280,218.3333333333335,0
240.77777777777777,280,221.66666666666686,0
250.33333333333331,280,225.0000000000002,0
259.0,280,228.33333333333354,0
264.77777777777777,280,231.66666666666688,0
270.6666666666667,280,235.00000000000023,0
276.6666666666667,280,238.33333333333357,0
286.7777777777778,280,241.6666666666669,0
295.00000000000006,280,245.00000000000026,0
303.33333333333337,280,248.3333333333336,0
310.7777777777778,280,251.66666666666694,0
320.33333333333337,280,255.00000000000028,0
331.00000000000006,280,258.3333333333336,0
337.7777777777778,280,261.6666666666669,0
345.66666666666674,280,265.0000000000002,0
354.66666666666674,280,268.33333333333354,0
365.7777777777779,280,271.66666666666686,0
375.0000000000001,280,275.00000000000017,0
386.3333333333334,280,278.3333333333335,0
392.7777777777779,280,281.6666666666668,0
400.3333333333334,280,285.0000000000001,0
407.0000000000001,280,288.3333333333334,0
415.7777777777779,280,291.66666666666674,0
422.6666666666668,280,295.00000000000006,0
430.6666666666668,280,298.33333333333337,0
439.7777777777779,280,301.6666666666667,0
450.0000000000001,280,305.0,0
462.3333333333334,280,308.3333333333333,0
471.7777777777779,280,311.66666666666663,0
482.3333333333335,280,314.99999999999994,0
495.0000000000001,280,318.33333333333326,0
505.77777777777794,280,321.6666666666666,0
516.6666666666669,280,324.9999999999999,0
529.6666666666669,280,328.3333333333332,0
540.7777777777779,280,331.6666666666665,0
553.0000000000001,280,334.99999999999983,0
562.3333333333335,280,338.33333333333314,0
574.7777777777779,280,341.66666666666646,0
