position x,position y,velocity x,velocity y
130,603.4,0,198.66666666666666
130,596.8444444444444,0,197.33333333333331
130,590.3333333333334,0,195.99999999999997
130,583.8666666666667,0,194.66666666666663
130,577.4444444444445,0,193.3333333333333
130,571.0666666666667,0,191.99999999999994
130,564.7333333333333,0,190.6666666666666
130,558.4444444444445,0,189.33333333333326
130,552.2,0,187.99999999999991
130,546.0,0,186.66666666666657
130,539.8444444444444,0,185.33333333333323
130,533.7333333333333,0,183.9999999999999
130,527.6666666666667,0,182.66666666666654
130,521.6444444444445,0,181.3333333333332
130,515.6666666666667,0,179.99999999999986
130,509.73333333333346,0,178.66666666666652
130,503.84444444444455,0,177.33333333333317
130,498.0000000000001,0,175.99999999999983
130,492.20000000000016,0,174.6666666666665
130,486.44444444444457,0,173.33333333333314
130,480.73333333333346,0,171.9999999999998
130,475.0666666666668,0,170.66666666666646
130,469.44444444444457,0,169.33333333333312
130,463.8666666666668,0,167.99999999999977
130,458.3333333333335,0,166.66666666666643
130,452.8444444444446,0,165.3333333333331
130,447.40000000000015,0,163.99999999999974
130,442.00000000000017,0,162.6666666666664
130,436.6444444444446,0,161.33333333333306
130,431.33333333333354,0,159.99999999999972
130,426.0666666666669,0,158.66666666666637
130,420.84444444444466,0,157.33333333333303
130,415.6666666666669,0,155.9999999999997
130,410.5333333333336,0,154.66666666666634
130,405.4444444444447,0,153.333333333333
130,400.40000000000026,0,151.99999999999966
130,395.40000000000026,0,150.66666666666632
130,390.44444444444474,0,149.33333333333297
130,385.53333333333364,0,147.99999999999963
130,380.66666666666697,0,146.6666666666663
130,375.8444444444448,0,145.33333333333294
130,371.066666666667,0,143.9999999999996
130,366.3333333333337,0,142.66666666666626
130,361.64444444444484,0,141.33333333333292
130,357.0000000000004,0,139.99999999999957
130,352.40000000000043,0,138.66666666666623
130,347.8444444444449,0,137.3333333333329
130,343.33333333333377,0,135.99999999999955
130,338.86666666666713,0,134.6666666666662
130,334.4444444444449,0,133.33333333333286
130,330.0666666666672,0,131.99999999999952
130,325.73333333333386,0,130.66666666666617
130,321.44444444444497,0,129.33333333333283
130,317.20000000000056,0,127.9999999999995
130,313.00000000000057,0,126.66666666666617
130,308.844444444445,0,125.33333333333285
130,304.7333333333339,0,123.99999999999952
130,300.66666666666725,0,122.66666666666619
130,296.64444444444507,0,121.33333333333286
130,292.6666666666673,0,119.99999999999953
130,288.733333333334,0,118.6666666666662
130,284.8444444444451,0,117.33333333333287
130,281.0000000000007,0,115.99999999999955
130,277.20000000000067,0,114.66666666666622
130,273.44444444444514,0,113.33333333333289
130,269.73333333333403,0,111.99999999999956
130,266.0666666666674,0,110.66666666666623
130,262.4444444444452,0,109.3333333333329
130,258.8666666666674,0,107.99999999999957
130,255.3333333333341,0,106.66666666666625
130,251.84444444444523,0,105.33333333333292
130,248.40000000000077,0,103.99999999999959
130,245.0000000000008,0,102.66666666666626
130,241.64444444444524,0,101.33333333333293
130,238.33333333333417,0,99.9999999999996
130,235.06666666666752,0,98.66666666666627
130,231.8444444444453,0,97.33333333333294
130,228.66666666666754,0,95.99999999999962
130,225.5333333333342,0,94.66666666666629
130,222.44444444444534,0,93.33333333333296
130,219.40000000000092,0,91.99999999999963
130,216.40000000000092,0,90.6666666666663
130,213.44444444444537,0,89.33333333333297
130,210.53333333333427,0,87.99999999999964
130,207.66666666666762,0,86.66666666666632
130,204.8444444444454,0,85.33333333333299
130,202.06666666666763,0,83.99999999999966
130,199.3333333333343,0,82.66666666666633
130,196.64444444444544,0,81.333333333333
130,194.000000000001,0,79.99999999999967
130,191.400000000001,0,78.66666666666634
130,188.84444444444546,0,77.33333333333302
130,186.33333333333437,0,75.99999999999969
130,183.8666666666677,0,74.66666666666636
130,181.44444444444548,0,73.33333333333303
130,179.06666666666771,0,71.9999999999997
130,176.7333333333344,0,70.66666666666637
130,174.4444444444455,0,69.33333333333304
130,172.20000000000107,0,67.99999999999972
130,170.00000000000108,0,66.66666666666639
130,167.84444444444554,0,65.33333333333306
130,165.73333333333443,0,63.99999999999972
130,163.66666666666777,0,62.66666666666639
130,161.64444444444555,0,61.33333333333305
130,159.6666666666678,0,59.999999999999716
130,157.73333333333446,0,58.66666666666638
130,155.84444444444557,0,57.333333333333044
130,154.00000000000114,0,55.99999999999971
130,152.20000000000115,0,54.66666666666637
130,150.4444444444456,0,53.33333333333304
130,148.73333333333449,0,51.9999999999997
130,147.06666666666783,0,50.666666666666366
130,145.44444444444562,0,49.33333333333303
130,143.86666666666787,0,47.999999999999694
130,142.33333333333454,0,46.66666666666636
130,140.84444444444566,0,45.33333333333302
130,139.40000000000123,0,43.99999999999969
130,138.00000000000125,0,42.66666666666635
130,136.6444444444457,0,41.333333333333016
130,135.3333333333346,0,39.99999999999968
130,134.06666666666794,0,38.666666666666345
130,132.84444444444574,0,37.33333333333301
130,131.66666666666796,0,35.99999999999967
130,130.53333333333464,0,34.66666666666634
130,129.44444444444576,0,33.333333333333
130,128.40000000000134,0,31.99999999999967
130,127.40000000000134,0,30.666666666666337
130,126.4444444444458,0,29.333333333333005
130,125.5333333333347,0,27.999999999999673
130,124.66666666666805,0,26.66666666666634
130,123.84444444444583,0,25.33333333333301
130,123.06666666666806,0,23.999999999999677
130,122.33333333333474,0,22.666666666666345
130,121.64444444444587,0,21.333333333333012
130,121.00000000000142,0,19.99999999999968
130,120.40000000000143,0,18.666666666666348
130,119.84444444444588,0,17.333333333333016
130,119.33333333333479,0,15.999999999999682
130,118.86666666666812,0,14.666666666666348
130,118.4444444444459,0,13.333333333333014
