position x1,position y1,velocity x1,velocity y1,position x2,position y2,velocity x2,velocity y2
78.0,80.19489457002734,30.000000000000007,35.9615242270662,111.36296694843713,252.98057152923246,-24.148145657226706,-9.529523872436979
79.0,79.01284376245846,30.000000000000007,35.628190893732864,110.5580287598629,253.31488899164702,-24.148145657226706,-9.862857205770313
80.0,77.8419040660007,30.000000000000007,35.29485756039953,109.75309057128868,253.6603175651727,-24.148145657226706,-10.196190539103647
81.0,76.68207548065405,30.000000000000007,34.96152422706619,108.94815238271445,254.0168572498095,-24.148145657226706,-10.52952387243698
82.0,75.53335800641851,30.000000000000007,34.62819089373286,108.14321419414023,254.38450804555742,-24.148145657226706,-10.862857205770315
83.0,74.39575164329408,30.000000000000007,34.29485756039952,107.338276005566,254.7632699524164,-24.148145657226706,-11.196190539103648
84.0,73.26925639128076,30.000000000000007,33.961524227066185,106.53333781699178,255.1531429703865,-24.148145657226706,-11.529523872436982
85.0,72.15387225037856,30.000000000000007,33.62819089373285,105.72839962841755,255.55412709946773,-24.148145657226706,-11.862857205770316
86.0,71.04959922058745,30.000000000000007,33.294857560399514,104.92346143984332,255.96622233966008,-24.148145657226706,-12.19619053910365
87.0,69.95643730190747,30.000000000000007,32.96152422706618,104.1185232512691,256.38942869096354,-24.148145657226706,-12.529523872436984
88.0,68.8743864943386,30.000000000000007,32.62819089373284,103.31358506269487,256.8237461533781,-24.148145657226706,-12.862857205770318
89.0,67.80344679788084,30.000000000000007,32.29485756039951,102.50864687412064,257.2691747269038,-24.148145657226706,-13.196190539103652
90.0,66.74361821253419,30.000000000000007,31.961524227066175,101.70370868554642,257.7257144115406,-24.148145657226706,-13.529523872436986
91.0,65.69490073829864,30.000000000000007,31.628190893732842,100.89877049697219,258.1933652072885,-24.148145657226706,-13.86285720577032
92.0,64.65729437517422,30.000000000000007,31.29485756039951,100.09383230839796,258.6721271141475,-24.148145657226706,-14.196190539103654
93.0,63.6307991231609,30.000000000000007,30.961524227066178,99.28889411982374,259.1620001321176,-24.148145657226706,-14.529523872436988
94.0,62.6154149822587,30.000000000000007,30.628190893732846,98.48395593124951,259.66298426119886,-24.148145657226706,-14.862857205770322
95.0,61.611141952467605,30.000000000000007,30.294857560399514,97.67901774267528,260.1750795013912,-24.148145657226706,-15.196190539103656
96.0,60.61798003378762,30.000000000000007,29.96152422706618,96.87407955410106,260.69828585269465,-24.148145657226706,-15.52952387243699
97.0,59.63592922621875,30.000000000000007,29.62819089373285,96.06914136552683,261.2326033151092,-24.148145657226706,-15.862857205770323
98.0,58.66498952976099,30.000000000000007,29.294857560399517,95.2642031769526,261.77803188863487,-24.148145657226706,-16.196190539103657
99.0,57.70516094441433,30.000000000000007,28.961524227066185,94.45926498837838,262.33457157327166,-24.148145657226706,-16.52952387243699
100.0,56.756443470178795,30.000000000000007,28.628190893732853,93.65432679980415,262.90222236901957,-24.148145657226706,-16.86285720577032
101.0,55.818837107054364,30.000000000000007,28.29485756039952,92.84938861122993,263.4809842758786,-24.148145657226706,-17.196190539103654
102.0,54.89234185504105,30.000000000000007,27.96152422706619,92.0444504226557,264.07085729384875,-24.148145657226706,-17.529523872436986
103.0,53.97695771413885,30.000000000000007,27.628190893732857,91.23951223408147,264.67184142292996,-24.148145657226706,-17.862857205770318
104.0,53.07268468434775,30.000000000000007,27.294857560399524,90.43457404550725,265.2839366631223,-24.148145657226706,-18.19619053910365
105.0,52.17952276566777,30.000000000000007,26.961524227066192,89.62963585693302,265.90714301442574,-24.148145657226706,-18.529523872436982
106.0,51.297471958098896,30.000000000000007,26.62819089373286,88.8246976683588,266.5414604768403,-24.148145657226706,-18.862857205770315
