# time, x_measured, y_measured, x_predicted, y_predicted, x_kalman, y_kalman
0.000000000000000000e+00,2.200000000000000000e+01,2.800000000000000000e+02,2.200000000000000000e+01,2.800000000000000000e+02,2.200000000000000000e+01,2.800000000000000000e+02
3.333333333333333287e-02,2.400000000000000000e+01,2.800000000000000000e+02,2.200000000000000000e+01,2.800000000000000000e+02,2.300055541664955427e+01,2.800000000000000000e+02
6.666666666666666574e-02,2.500000000000000000e+01,2.800000000000000000e+02,2.300166692858386952e+01,2.800000000000000000e+02,2.366999710630013354e+01,2.800000000000000000e+02
1.000000000000000056e-01,2.600000000000000000e+01,2.800000000000000000e+02,2.367333275997152597e+01,2.800000000000000000e+02,2.426080835980641481e+01,2.800000000000000000e+02
1.333333333333333315e-01,2.500000000000000000e+01,2.800000000000000000e+02,2.426803563403068154e+01,2.800000000000000000e+02,2.441767141697020804e+01,2.800000000000000000e+02
1.666666666666666574e-01,2.300000000000000000e+01,2.800000000000000000e+02,2.442654389390142455e+01,2.800000000000000000e+02,2.417894365330024442e+01,2.800000000000000000e+02
2.000000000000000111e-01,2.500000000000000000e+01,2.800000000000000000e+02,2.418385809879805848e+01,2.800000000000000000e+02,2.430851653298834947e+01,2.800000000000000000e+02
2.333333333333333370e-01,2.400000000000000000e+01,2.800000000000000000e+02,2.431615941351839183e+01,2.800000000000000000e+02,2.427241835282720572e+01,2.800000000000000000e+02
2.666666666666666630e-01,2.500000000000000000e+01,2.800000000000000000e+02,2.427884798227777452e+01,2.800000000000000000e+02,2.437142186954426748e+01,2.800000000000000000e+02
2.999999999999999889e-01,2.500000000000000000e+01,2.800000000000000000e+02,2.438104879572546224e+01,2.800000000000000000e+02,2.445628214355144792e+01,2.800000000000000000e+02
3.333333333333333148e-01,2.500000000000000000e+01,2.800000000000000000e+02,2.446899884120756496e+01,2.800000000000000000e+02,2.453116208192524184e+01,2.800000000000000000e+02
3.666666666666666408e-01,2.800000000000000000e+01,2.800000000000000000e+02,2.454682399413051641e+01,2.800000000000000000e+02,2.494167261240931310e+01,2.800000000000000000e+02
4.000000000000000222e-01,2.900000000000000000e+01,2.800000000000000000e+02,2.497782511345003442e+01,2.800000000000000000e+02,2.543211096963946716e+01,2.800000000000000000e+02
4.333333333333333481e-01,2.700000000000000000e+01,2.800000000000000000e+02,2.549411006166423732e+01,2.800000000000000000e+02,2.566358226760582539e+01,2.800000000000000000e+02
4.666666666666666741e-01,2.900000000000000000e+01,2.800000000000000000e+02,2.573636685805674773e+01,2.800000000000000000e+02,2.610470459518059627e+01,2.800000000000000000e+02
5.000000000000000000e-01,3.300000000000000000e+01,2.800000000000000000e+02,2.620149896973419601e+01,2.800000000000000000e+02,2.697446762901177308e+01,2.800000000000000000e+02
5.333333333333333259e-01,3.400000000000000000e+01,2.800000000000000000e+02,2.712307799531802388e+01,2.800000000000000000e+02,2.791306200155796802e+01,2.800000000000000000e+02
5.666666666666666519e-01,3.700000000000000000e+01,2.800000000000000000e+02,2.811689871263139651e+01,2.800000000000000000e+02,2.914962629225067303e+01,2.800000000000000000e+02
5.999999999999999778e-01,3.700000000000000000e+01,2.800000000000000000e+02,2.942746161181825215e+01,2.800000000000000000e+02,3.031904508263875542e+01,2.800000000000000000e+02
6.333333333333333037e-01,4.100000000000000000e+01,2.800000000000000000e+02,3.066334818708659782e+01,2.800000000000000000e+02,3.189587941122212200e+01,2.800000000000000000e+02
6.666666666666666297e-01,4.200000000000000000e+01,2.800000000000000000e+02,3.233265166383578304e+01,2.800000000000000000e+02,3.349949661862810046e+01,2.800000000000000000e+02
6.999999999999999556e-01,4.300000000000000000e+01,2.800000000000000000e+02,3.402645907935166036e+01,2.800000000000000000e+02,3.512197156421730426e+01,2.800000000000000000e+02
7.333333333333332815e-01,4.500000000000000000e+01,2.800000000000000000e+02,3.573620368407564740e+01,2.800000000000000000e+02,3.687902971331766366e+01,2.800000000000000000e+02
7.666666666666666075e-01,4.900000000000000000e+01,2.800000000000000000e+02,3.758596863229237783e+01,2.800000000000000000e+02,3.900742210836986601e+01,2.800000000000000000e+02
8.000000000000000444e-01,5.300000000000000000e+01,2.800000000000000000e+02,3.982929986820830237e+01,2.800000000000000000e+02,4.148345597433523579e+01,2.800000000000000000e+02
8.333333333333333703e-01,5.400000000000000000e+01,2.800000000000000000e+02,4.243979899350513563e+01,2.800000000000000000e+02,4.390267208592687354e+01,2.800000000000000000e+02
8.666666666666666963e-01,5.600000000000000000e+01,2.800000000000000000e+02,4.498288662177049702e+01,2.800000000000000000e+02,4.638642133496509246e+01,2.800000000000000000e+02
9.000000000000000222e-01,6.000000000000000000e+01,2.800000000000000000e+02,4.758918870081260621e+01,2.800000000000000000e+02,4.917977494528405913e+01,2.800000000000000000e+02
9.333333333333333481e-01,6.400000000000000000e+01,2.800000000000000000e+02,5.052165405729355996e+01,2.800000000000000000e+02,5.225838174571933337e+01,2.800000000000000000e+02
9.666666666666666741e-01,6.800000000000000000e+01,2.800000000000000000e+02,5.375351299854055043e+01,2.800000000000000000e+02,5.559820632304457888e+01,2.800000000000000000e+02
1.000000000000000000e+00,7.400000000000000000e+01,2.800000000000000000e+02,5.725843992375968128e+01,2.800000000000000000e+02,5.943594566717664662e+01,2.800000000000000000e+02
1.033333333333333215e+00,7.400000000000000000e+01,2.800000000000000000e+02,6.128998101748367588e+01,2.800000000000000000e+02,6.295002327543108578e+01,2.800000000000000000e+02
1.066666666666666652e+00,7.700000000000000000e+01,2.800000000000000000e+02,6.496528168610275600e+01,2.800000000000000000e+02,6.654329753169908201e+01,2.800000000000000000e+02
1.100000000000000089e+00,8.300000000000000000e+01,2.800000000000000000e+02,6.871793571148985791e+01,2.800000000000000000e+02,7.059762247544090030e+01,2.800000000000000000e+02
1.133333333333333304e+00,8.900000000000000000e+01,2.800000000000000000e+02,7.295794462741412190e+01,2.800000000000000000e+02,7.507682923316049539e+01,2.800000000000000000e+02
1.166666666666666741e+00,9.500000000000000000e+01,2.800000000000000000e+02,7.764546607131093481e+01,2.800000000000000000e+02,7.994562516350441683e+01,2.800000000000000000e+02
1.199999999999999956e+00,9.700000000000000000e+01,2.800000000000000000e+02,8.274168738286779501e+01,2.800000000000000000e+02,8.463778748906800331e+01,2.800000000000000000e+02
1.233333333333333393e+00,1.000000000000000000e+02,2.800000000000000000e+02,8.763747149373163836e+01,2.800000000000000000e+02,8.928677446845669863e+01,2.800000000000000000e+02
1.266666666666666607e+00,1.070000000000000000e+02,2.800000000000000000e+02,9.247686862401877761e+01,2.800000000000000000e+02,9.442045012285454675e+01,2.800000000000000000e+02
1.300000000000000044e+00,1.090000000000000000e+02,2.800000000000000000e+02,9.782748358965199031e+01,2.800000000000000000e+02,9.932712343988083603e+01,2.800000000000000000e+02
